总类别,子类别,商标名,商标图片地址,txt地址
穿着-装扮,珠宝首饰,芳华珠宝FANGHUA,./穿着-装扮/珠宝首饰/芳华珠宝FANGHUA/17595484562_207x90.gif,./穿着-装扮/珠宝首饰/芳华珠宝FANGHUA/芳华珠宝(北京)有限公司.txt
穿着-装扮,香水彩妆,吉白草,./穿着-装扮/香水彩妆/吉白草/18053065478_207x90.gif,./穿着-装扮/香水彩妆/吉白草/修正药业集团股份有限公司.txt
穿着-装扮,美发-护发,瑞美RUIMEI,./穿着-装扮/美发-护发/瑞美RUIMEI/18031948856_207x90.gif,./穿着-装扮/美发-护发/瑞美RUIMEI/河南瑞美真发股份有限公司.txt
穿着-装扮,面部护肤,Leaders丽得姿,./穿着-装扮/面部护肤/Leaders丽得姿/18032273407_207x90.gif,./穿着-装扮/面部护肤/Leaders丽得姿/丽得姿化妆品(北京)有限责任公司.txt
穿着-装扮,珠宝首饰,果敢翡翠,./穿着-装扮/珠宝首饰/果敢翡翠/09063788084_207x90.gif,./穿着-装扮/珠宝首饰/果敢翡翠/西双版纳果敢翡翠珠宝有限公司.txt
穿着-装扮,面部护肤,BORGHESE贝佳斯,./穿着-装扮/面部护肤/BORGHESE贝佳斯/15332657620_207x90.gif,./穿着-装扮/面部护肤/BORGHESE贝佳斯/贝佳斯(北京)化妆品有限公司.txt
穿着-装扮,面部护肤,韩束KANS,./穿着-装扮/面部护肤/韩束KANS/15333084425_207x90.gif,./穿着-装扮/面部护肤/韩束KANS/上海上美化妆品有限公司.txt
穿着-装扮,面部护肤,欧丽源OLY,./穿着-装扮/面部护肤/欧丽源OLY/18082728806_207x90.gif,./穿着-装扮/面部护肤/欧丽源OLY/广州市欧丽源化妆品有限公司.txt
穿着-装扮,鞋袜-箱包,Repetto丽派朵,./穿着-装扮/鞋袜-箱包/Repetto丽派朵/18112316111_207x90.gif,./穿着-装扮/鞋袜-箱包/Repetto丽派朵/太古资源(上海)商贸有限公司.txt
穿着-装扮,服装配饰,CNCN,./穿着-装扮/服装配饰/CNCN/17224110978_207x90.gif,./穿着-装扮/服装配饰/CNCN/劲霸男装股份有限公司.txt
穿着-装扮,服装配饰,乐町LEDIN,./穿着-装扮/服装配饰/乐町LEDIN/17461128508_207x90.gif,./穿着-装扮/服装配饰/乐町LEDIN/太平鸟集团有限公司.txt
